"название","активность","Сорт.","Дата изм.","id","дата","Уровень знаний","Языки программирования"
User:1335,Да,500,"10.01.2024 12:03:14",253951,"21.11.2022",Expert [115641],HTML [239026]
User:1335,Да,500,"10.01.2024 12:03:14",253953,"21.11.2022",Middle [115639],PHP [115720]
User:1335,Да,500,"10.01.2024 12:03:14",253954,"21.11.2022",Middle [115639],SQL [115725]
User:1335,Да,500,"10.01.2024 12:03:14",313764,"21.11.2022",Senior [115640],JavaScript [115717]
User:1335,Да,500,"10.01.2024 12:03:14",313765,"21.11.2022",Junior [115638],"1C [115721]"
User:4036,Да,500,"09.01.2024 13:43:47",251759,"22.11.2022",Middle [115639],HTML [239026]
User:4036,Да,500,"09.01.2024 13:43:47",251761,"22.11.2022",Junior [115638],JavaScript [115717]
User:4036,Да,500,"09.01.2024 13:43:47",251763,"22.11.2022",Novice [115637],Python [115719]
User:4036,Да,500,"09.01.2024 13:43:47",251765,"22.11.2022",Middle [115639],SQL [115725]
User:4036,Да,500,"09.01.2024 13:43:47",276028,"22.11.2022",Junior [115638],TypeScript [216018]
User:3978,Да,500,"09.01.2024 11:40:45",313466,"09.01.2024",Использовал на проекте [283045],PHP [115720]
User:3978,Да,500,"09.01.2024 11:40:45",313467,"09.01.2024",Использовал на проекте [283045],HTML [239026]
User:3978,Да,500,"09.01.2024 11:40:40",313464,"09.01.2024",Использовал на проекте [283045],PHP [115720]
User:3978,Да,500,"09.01.2024 11:40:40",313465,"09.01.2024",Использовал на проекте [283045],HTML [239026]
User:4549,Да,500,"09.01.2024 10:53:52",313425,"09.01.2024",Novice [115637],MATLAB [115727]
User:4549,Да,500,"09.01.2024 10:53:52",313426,"09.01.2024",Junior [115638],R [115722]
User:4549,Да,500,"09.01.2024 10:53:52",313427,"09.01.2024",Junior [115638],SQL [115725]
User:4506,Да,500,"08.01.2024 23:55:03",313355,"08.01.2024",Junior [115638],Python [115719]
User:4506,Да,500,"08.01.2024 23:55:03",313356,"08.01.2024",Junior [115638],SQL [115725]
User:3985,Да,500,"08.01.2024 21:02:10",313336,"01.02.2022",Senior [115640],C++ [115714]
User:3985,Да,500,"08.01.2024 21:02:10",313337,"01.02.2022",Senior [115640],С# [115713]
User:3985,Да,500,"08.01.2024 21:02:10",313338,"01.02.2022",Middle [115639],JavaScript [115717]
User:3985,Да,500,"08.01.2024 21:02:10",313339,"01.02.2022",Senior [115640],SQL [115725]
User:3985,Да,500,"08.01.2024 21:02:10",313340,"01.02.2022",Middle [115639],Delphi| Object Pascal [115730]
