"User ID","активность","Сорт.","Дата изм.","id","Уровень образование","Название учебного заведения","Фиктивное название","Факультет, кафедра","специальность","квалификация","Год окончания"
4601,Да,500,"18.03.2024 13:07:51",316309,Высшее [175357],Санкт-Петербургский государственный университет промышленных технологий и дизайна,Техникум 1,"",Бакалавр,"",2021
4120,Да,500,"14.03.2024 15:02:51",316249,Cреднее профессиональное образование [177798],"Академия управления городской средой, градостроительства и печати",Учеб. заведение 6,"",Архитектор,"",2020
163,Да,500,"14.03.2024 15:02:51",316250,Дополнительное профессионaльное образование [177802],"Санкт-Петербургский национальный исслед. университет информационных технологий, механики и оптики",Академия 1,"",Инженер,"",2013
175,Да,500,"14.03.2024 08:02:51",316246,Высшее [175357],Санкт-Петербургский политехнический университет Петра Великого,Академия 2,"",Магистр,"",2020
4601,Да,500,"12.03.2024 07:02:55",316200,Высшее [175357],Санкт-Петербургский государственный университет промышленных технологий и дизайна,Академия 3,"",Не указано,"",2021
4416,Да,500,"20.02.2024 11:04:27",315864,Высшее [175357],Донбаский Государственный Технический Университет,Академия 4,"",Бакалавр,"",2023
3712,Да,500,"16.02.2024 13:03:25",315774,Высшее [175357],Комсомольский-на-Амуре государственный технический университет,Академия 5,"",Инженер,"",2004
4663,Да,500,"12.01.2024 18:03:32",314124,Высшее [175357],Волгоградский государственный технический университет,Академия 6,"",Бакалавр,"",2017
4670,Да,500,"12.01.2024 01:02:09",314086,Среднее специальное [148157],Институт среднего профессионального образования,Академия 7,"",Техник-программист,"",2023
4671,Да,500,"12.01.2024 01:02:09",314087,Высшее [175357],Московская государственная академия ветеринарной медицины и биотехнологии — МВА имени К. И. Скрябина,Академия 8,"",Ветеринарный врач,"",2018
4667,Да,500,"11.01.2024 01:02:09",313898,Высшее [175357],Тольяттинский государственный  университет,Академия 9,"",Магистр,"",2023
4666,Да,500,"11.01.2024 01:02:09",313899,Высшее [175357],Высшая школа экономики,Академия 10,"",Бакалавр,"",2020
4669,Да,500,"11.01.2024 01:02:09",313900,Выcшее [175357],Иркутский государственный университет путей сообщения,Академия 11,"",Инженер путей сообщения,"",2006
1335,Да,500,"11.01.2024 01:02:09",313901,Высшее [175357],Санкт-Петербургский Государственный университет экономики и финансов,Академия 12,"",Экономист,"",1998
4665,Да,500,"11.01.2024 01:02:09",313902,Высшее [175357],Национальный исследовательский Томский государственный университет,Академия 13,"",Экономист,"",2012
4664,Да,500,"11.01.2024 01:02:09",313903,Высшее [175357],Московский авиационный институт (Национальный исследовательский университет),Академия 14,"",инженер,"",2022
4660,Да,500,"11.01.2024 01:02:09",313904,Высшее [175357],Санкт-Петербургский государственный морской технический университет,Академия 15,"",Морской инженер,"",0
4662,Да,500,"11.01.2024 01:02:09",313905,Высшее [175357],Высшая школа экономики,Академия 16,"",Бакалавр,"",2023
3640,Да,500,"11.01.2024 01:02:09",313906,Высшее [175357],Санкт-Петербургский государственный Политехнический университет Петра Великого,Академия 17,"",магистр,"",2015
4668,Да,500,"11.01.2024 01:02:09",313907,Высшее [175357],Санкт-Петербургский государственный технологический институт,Академия 18,"",Инженер,"",2005
4663,Да,500,"11.01.2024 01:02:09",313908,Высшее [175357],Волгоградский государственный технический университет,Академия 19,"",Не указано,"",0
1335,Да,500,"10.01.2024 12:00:06",176150,Высшее [175357],Санкт-Петербургский Государственный университет экономики и финансов,Академия 20,Экономики труда и управления персоналом,Экономика и социология труда,Экономист,1998
3640,Да,500,"10.01.2024 09:40:16",186919,Высшее (магистратура) [148155],Санкт-Петербургский государственный Политехнический университет Петра Великого,Академия 21,"",менеджмент,"",2015
3640,Да,500,"10.01.2024 09:40:16",253639,Высшее (бакалавриат) [76387],"Программа двойного диплома, Tampere University of Applied Sciences (TAMK), Финляндия, г.Тампере.",Академия 22,"",менеджмент,"",2011
3640,Да,500,"10.01.2024 09:40:16",253642,Высшее (бакалавриат) [76387],"Программа двойного диплома, Saimaa University of Applied Sciences (TAMK), Финляндия, г. Лаппеенранта.",Академия 23,"",менеджмент,"",2012
4659,Да,500,"10.01.2024 01:02:08",313697,Высшее [175357],Российская таможенная академия,Академия 24,"",Специалист таможенного дела,"",2012
4489,Да,500,"10.01.2024 01:02:08",313698,Высшее [175357],Пермский национальный исследовательский политехнический университет,Академия 25,"",магистр,"",2015
4657,Да,500,"10.01.2024 01:02:08",313699,Высшее [175357],Московский государственный университет прикладной биотехнологии,Академия 26,"",Инженер,"",2007
4508,Да,500,"10.01.2024 01:02:08",313700,Высшее [175357],Санкт-Петербургский государственный экономический университет,Академия 27,"",Бакалавр,"",2018
4549,Да,500,"10.01.2024 01:02:08",313701,Удостоверение [175359],Национальный исследовательский университет ИТМО,Академия 28,"",Не указано,"",2021
4036,Да,500,"10.01.2024 01:02:08",313702,Высшее [175357],Московский технический университет связи и информатики,Академия 29,"",Бакалавр,"",2023
4508,Да,500,"09.01.2024 15:35:48",295524,Высшее [175357],Санкт-Петербургский государственный экономический  университет,Академия 30,Туризм,"",Бакалавр,2018
4036,Да,500,"09.01.2024 13:44:08",251774,Высшее [175357],"Московский технический университет связи и информатики, Москва",Академия 31,Факультет информационных технологий,Прикладная информатика (бакалавр прикладной информатики),"",2023
4549,Да,500,"09.01.2024 11:21:14",299752,Высшее (магистратура) [148155],Санкт-Петербургский Политехнический университет Петра Великого,Академия 32,Высшая школа бизнес-инжиниринга,Не указано,"",2020
4549,Да,500,"09.01.2024 11:21:14",306499,Высшее (бакалавриат) [76387],Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина),Академия 33,Факультет информационно-измерительных и биотехнических систем,"","",2018
4549,Да,500,"09.01.2024 11:21:14",313448,Повышение квалификации [175363],Санкт-Петербургский политехнический университет Петра Великого,Академия 34,ИПМЭиТ,"",Построение интеллектуального предприятия на базе SAP/4HANA,2021
4549,Да,500,"09.01.2024 11:21:14",313455,Повышение квалификации [175363],Национальный исследовательский университет ИТМО,Академия 35,"",Трехмерное моделирование в 3ds Max,"",2021
4489,Да,500,"09.01.2024 10:42:00",292882,Высшее [175357],Пермский национальный исследовательский политехнический университет,Академия 36,Факультет прикладной математики и механики,Прикладная механика,магистр,2015
4489,Да,500,"09.01.2024 10:42:00",312809,Высшее [175357],Пермский национальный исследовательский политехнический университет,Академия 37,Факультет прикладной математики и механики,Прикладная математика и информатика,бакалавр,2013
4512,Да,500,"09.01.2024 01:02:09",313382,Высшее [175357],Санкт-Петербургский Государственный Университет телекоммуникаций им.проф. М.А.Бонч-Бруевича,Академия 38,"",Бакалавр,"",2023
4486,Да,500,"09.01.2024 01:02:09",313383,Высшее [175357],Московский институт инженерного транспорта,Академия 39,"",магистр,"",2018
4506,Да,500,"08.01.2024 23:59:42",313371,Высшее (бакалавриат) [76387],РПА СПБ Минюста России,Академия 40,"","","",2022
3985,Да,500,"08.01.2024 20:53:40",313319,Высшее (магистратура) [148155],Московский автомобильно-дорожный государственный технический университет (МАДИ),Академия 41,Управление,Информатика и вычислительная техника,Магистр,2017
3985,Да,500,"08.01.2024 20:53:40",313323,Высшее (бакалавриат) [76387],Московский автомобильно-дорожный государственный технический университет (МАДИ),Академия 42,Управление,Информатика и вычислительная техника,Бакалавр,2015
4486,Да,500,"08.01.2024 14:08:13",292576,Высшее (магистратура) [148155],Московский институт инженерного транспорта,Академия 43,"""Институт транспортной техники и систем управления"", кафедра ""Управление и защита информации""",Управление в технических системах,магистр,2018
4486,Да,500,"08.01.2024 14:08:13",313311,Высшее (бакалавриат) [76387],Московский институт инженерного транспорта,Академия 44,"""Институт транспортной техники и систем управления"", кафедра ""Управление и защита информации""",Управление в технических системах,бакалавр,2016
4563,Да,500,"08.01.2024 13:35:42",313264,Неполное высшее образовани] [175361],ЯГТУ,Академия 45,Информационные системы и технологии,Информационные системы,Специалист по ИС,2024
4563,Да,500,"08.01.2024 13:35:42",313265,Среднее профессиональное образование [177798],ЯПЭК,Академия 46,Информационные системы и технологии,Информационные системы,Специалист по ИС,2018
4512,Да,500,"08.01.2024 01:48:57",295742,Высшее [175357],Санкт-Петербургский Государственный Университет телекоммуникаций им.проф. М.А.Бонч-Бруевича,Академия 47,Инфокоммуникационных сетей и систем,Информационная безопасность,Бакалавр,2023
1430,Да,500,"30.12.2023 01:02:03",312810,Высшее [175357],Российский государственный аграрный унивеситет - МСХА имени К.А. Тимирязева,Академия 48,"",бакалавр,"",2016
1430,Да,500,"29.12.2023 11:58:45",176211,Высшее (бакалавриат) [76387],Российский государственный аграрный унивеситет - МСХА имени К.А. Тимирязева,Академия 49,Государственное и муниципальное управление,Государственное и муниципальное управление,бакалавр,2016
4507,Да,500,"29.12.2023 01:02:00",312660,Высшее [175357],Национальный исследовательский университет ИТМО,Академия 50,"",Магистр,"",2021
3238,Да,500,"21.01.2022 01:01:46",207393,Сертификат [175358],"1С",Универ 5,"",Профессионал_ERP,"",2020
4015,Да,500,"29.12.2023 01:02:00",312661,Высшее [175357],Московский технический университет связи и информатики,Академия 51,"",бакалавр,"",2022
4594,Да,500,"29.12.2023 01:02:00",312663,Высшее [175357],Московский Государственный Университет им. М.В.Ломоносова,Академия 52,"",Математик. Механик. Преподаватель,"",2018
4015,Да,500,"28.12.2023 16:38:21",227662,Высшее [175357],Московский технический университет связи и информатики,Академия 53,"Информационные технологии, Бизнес информатика",Прикладная информатика,Бакалавр,2022
4594,Да,500,"28.12.2023 12:35:37",308787,Высшее [175357],Московский Государственный Университет им. М.В.Ломоносова,Академия 54,Кафедра теории вероятностей,"01.05.01. Фундаментальные математика и механика",Математик. Механик. Преподаватель,2018
4507,Да,500,"28.12.2023 12:22:52",295523,Высшее (магистратура) [148155],Национальный исследовательский университет ИТМО,Академия 55,Факультет цифровых трансформаций,"11.04.02 Инфокоммуникационные технологии и системы связи",Магистр,2021
4194,Да,500,"28.12.2023 01:02:27",312452,Высшее [175357],Дальневосточный государственный университет,Академия 56,"",Бакалавр,"",2021
3398,Да,500,"28.12.2023 01:02:27",312453,Профессиональная переподготовка [148159],Национальный исследовательский университет ИТМО,Академия 57,"",веб-разработчик,"",2020
4194,Да,500,"27.12.2023 15:52:21",256081,Высшее (бакалавриат) [76387],Дальневосточный федеральный университет,Академия 58,Управление инновациями,Инноватика,Бакалавр,2021
